album_name,album_artist,url_links,genre,tlmc_path,internal album_id
63／64 Completion,ジャージと愉快な仲間たち,http://zephyr.halfmoon.jp/jersey/6364/,Folk,[ジャージと愉快な仲間たち]/2014.05.11 [ZEPH-0006] 63／64 Completion [例大祭11],237
66 -Sixty Six-,C-CLAYS,"http://www.c-clays.com/work/66-2/, http://cclays.blog.fc2.com/blog-entry-314.html",Jpop，Rock，Dance，Misc Electronic,[C-CLAYS]/2015.08.14 [TOCD-0052] 66 -SIXTY SIX- [C88],238
6B,インスタントフィルハーモニー,http://instantphil.iza-yoi.net/rei19.html,,[インスタントフィルハーモニー] Instant Philharmonic/2022.05.08 6B [例大祭19],239
6th Anniversary,bunny rhyTHm,,,[bunny rhyTHm]/2017.10.29 [BRTH-003.5] 1st Anniversary [YACA54],240
6つの誓約-Six of Pledge,Wish～希望の翼～,"http://www.nicovideo.jp/watch/sm29395851, https://www.toranoana.jp/mailorder/article/04/0030/44/42/040030444248.html",Rock，Jpop，Trance,[Wish～希望の翼～]/2016.08.13 [WTCD-02] 6つの誓約-Six of Pledge [C90],241
7-RAGES,こなぐすり,http://www.conagusuri.com/sp/cd24/,Jpop，Trance，Rock,[こなぐすり]/2013.05.26 [CNCD-0024] 7-RAGES [例大祭10],242
8,豚乙女,http://butaotome.web.fc2.com/8_tokusetu.html,Jpop，Rock,[豚乙女]/2012.08.11 8 [C82],246
8246,Ridil,,Jazz，Classic，Other/Misc,[Ridil]/2018.05.06 [RDCD-008] 8246 [例大祭15],248
864,Halozy,http://www.halozy.com/discography/hlzy-0022/,,[Halozy]/2015.05.10 [HLZY-0022] 864 [例大祭12],249
864 Instrumental,Halozy,http://www.halozy.com/discography/hlex-0013/,Jpop,[Halozy]/2015.05.10 [HLZY-0022] 864 [例大祭12],250
8bit+Band+Dance東方アレンジCD ～霧雨魔法典3～,PHOENIX Project,,,[PHOENIX Project]/2015.08.14 [PPCD-1504] 霧雨魔法典3 [C88],252
8bit+Band+Dance東方アレンジCD ～霧雨魔法典～,PHOENIX Project,http://kirisame.p-pr.info/,,[PHOENIX Project]/2014.12.29 [PPCD-1407] 霧雨魔法典 [C87],253
8BiTouhou,DDBY,https://ddby.jp/8bitouhou/,,[DDBY]/2008.10.13 8BiTouhou [M3-08秋],254
8BiTouhou 2,DDBY,https://ddby.jp/8bitouhou_2/,,[DDBY]/2008.11.02 8BiTouhou 2 [東方紅楼夢4],255
8BiTouhou 3,DDBY,https://ddby.jp/8bitouhou_3/,,[DDBY]/2009.03.08 8BiTouhou 3 [例大祭6],256
8magics to kill the gods,回路-kairo-,http://www.k-a-i-r-o.com/toho06.html,Rock,[回路-kairo-]/2012.12.30 8magics to kill the gods [C83],257
9505,9505,https://twitter.com/PoPo_Guitar/status/1650816930423668736,,[9505]/2023.05.07 9505 [例大祭20],259
99YEN,Halozy,,,[Halozy]/2011.05.08 [HLZY-0000-3] 9YEN [例大祭8],261
9YEN,Halozy,http://www.halozy.com/,,[Halozy]/2011.05.08 [HLZY-0000-3] 9YEN [例大祭8],263
@-Plums,Human Error,http://www.humanerror.info/works.html,Rock,[Human Error]/2009.03.08 [HEMU-0003] @-Plums [例大祭6],264
A Cafe Chic Records,Attrielectrock,http://triangler.net/PAER-0000.html,,[Attrielectrock]/2008.05.25 [PAER-0000] A Cafe Chic Records [例大祭5],266
"A Cafe Chic Records #03 ""white-alarm""",Attrielectrock,http://triangler.net/PAER-0004.html,Jazz，Misc Electronic,[Attrielectrock]/2008.12.29 [PAER-0004] A Cafe Chic Records #03 white-alarm [C75],268
A Cafe Chic Records #04 -open code-,Attrielectrock,http://triangler.net/works/PAER-0005/,Jazz,[Attrielectrock]/2009.03.08 [PAER-0005] A Cafe Chic Records #04 -open code- [例大祭6],269
A Cafe Chic Records ／ad,Attrielectrock,http://triangler.net/PAER-0006.html,Jazz,[Attrielectrock]/2008.05.25 [PAER-0000] A Cafe Chic Records [例大祭5],270
A Couple of Time,Sound Online,http://soundonline.info/Couple/,House，Trance，Misc Electronic,[Sound Online]/2011.12.30 [IBCD-0019] A Couple of Time [C81],273
A Girl Alone in a Scarlet Prison ～ 紅い檻のお姫様,ペンギンブルー,https://penguindance-penguinblue.tumblr.com/post/71636322945/東方アレンジcda-girl-alone-in-a-scarlet-prison,Jpop，Rock，Other/Misc,[ペンギンブルー]/2011.10.16 [PBT-01] A Girl Alone in a Scarlet Prison ～ 紅い檻のお姫様 [東方紅楼夢7],276
a Lack Unity Plastic...,Unity-Gain,http://kakeruichi.mydns.jp/event/post.html#utgn-0004,Jazz,[Unity-Gain]/2011.08.13 [UTGN-0004] a Lack Unity Plastic... [C80],278
a Lack Unity Plastic... 2,Unity-Gain,http://kakeruichi.mydns.jp/cd/index.html#utgn-0010,Jazz，Other/Misc,[Unity-Gain]/2013.05.26 [UTGN-0010] a Lack Unity Plastic... 2 [例大祭10],279
a Lack Unity Plastic... 3,Unity-Gain,http://kakeruichi.mydns.jp/cd/UTGN-0020/,Jazz,[Unity-Gain]/2019.12.31 [UTGN-0020] a Lack Unity Plastic...3 [C97],280
a Little Little New Step,Unity-Gain,http://kakeruichi.mydns.jp/cd/UTGN-0022/,,[Unity-Gain]/2022.08.14 [UTGN-0022] a Little Little New Step [C100],282
A Modern Ghost,ACCORD ON CODES,http://accord-on-codes.tumblr.com/post/23673847867/a-modern-ghost,Jazz，Classic,[Accord on Codes]/2012.05.27 A Modern Ghost [例大祭9],285
A Night at the Underground,ACCORD ON CODES,http://accord-on-codes.tumblr.com/post/163594218725/night-at-underground,Jazz,[Accord on Codes]/2017.08.11 A Night at the Underground [C92],287
A notice of a doll,華霞魅,,,[華霞魅]/2009.03.08 A notice of a doll [例大祭6],288
A SATELLITE IN THE 2nd OUTER SPACE,CYTOKINE,http://cytokine-web.com/archives/2006/07/21_060402.php,Trance，Dance,[Cytokine]/2006.08.13 [CK-0002P] A SATELLITE IN THE 2nd OUTERSPACE [C70],297
A Story,発熱巫女～ず,http://hatsunetsumikos.net/astr/,,[発熱巫女～ず]/2010.03.14 [HTNT-006] A Story [例大祭7],302
a tenderly lie,Pearls Before Swine,"http://pbs.html.xdomain.jp/pbs005.html, http://pbswine.jp/pbs005.html",Metal,[Pearls Before Swine]/2016.05.08 [PBS-005] a tenderly lie [例大祭13],304
A Tribute to the East Vol.2,Stygian Riverside,"http://kontohboh.web.fc2.com/tte2.htm, http://stygian-riverside.at.webry.info/200812/article_1.html",Metal，Rock,[Stygian Riverside]/2008.12.29 A TRIBUTE TO THE EAST VOL.2 [C75],306
A.Manic Depressive Sadistic Garden,Mayhem and Melancholy,,Rock，Jpop，House,[Mayhem and Melancholy]/2010.03.14 [MMCD-0002] A.Manic Depressive Sadistic Garden [例大祭7],311
Abaddon's 5th Chord,Diabolic Phantasma,http://abaddons5thchord.tumblr.com/,Metal,[Diabolic Phantasma]/2016.10.09 [DBPS-003] Abaddon's 5th Chord [東方紅楼夢12],313
Absolute One,AbsoЯute Zero,http://absorute-zero.net/absoluteone/,Rock,[AbsoЯute Zero]/2015.08.14 [ARZ-0001] Absolute One [C88],317
Absolute Position,山紫水明,http://sanshisuimei.ho-zuki.com/absolute_position.html,,[山紫水明]/2011.12.30 Absolute Position [C81],318
Absolutely Perfection,ジェリコの法則,http://jerico909.jimdo.com/,Misc Electronic，Hardcore，House，Trance,[ジェリコの法則]/2016.05.08 [JER-016] Absolutely Perfection [例大祭13],319
Absurdity Neigh,EastNewSound,http://e-ns.net/discography/ens0068.html,,[EastNewSound]/2019.12.31 [ENS-0068] Absurdity Neigh [C97],320
abyss Gatekeeper,K2E†Cradle,,Eurobeat,[K2E†Cradle]/2017.12.29 [K2E-009] abyss Gatekeeper [C93],321
Abyss nova,FELT,"http://feltmusic.net/FELT011/, http://feltmusic.net/FELT011/vip/, http://feltmusic.net/FELT011/c84special/",Jpop，Dance,[FELT]/2013.08.12 [FELT-011] Abyss nova [C84],322
Accelerated Beats,Amateras Records,,,[Amateras Records]/2020.08.16 [AMRE-0004] Accelerated Beats,327
